filename,width,height,class,xmin,ymin,xmax,ymax
file (26),300,300,basket,42,8,250,230
file (260),360,480,basket,3,2,305,401
file (261),360,480,basket,1,64,168,310
file (262),360,480,basket,1,34,172,288
file (263),360,480,basket,147,2,332,233
file (264),360,480,basket,70,47,255,356
file (265),360,480,basket,123,149,170,224
file (266),360,480,basket,123,139,203,263
file (267),360,480,basket,57,67,141,187
file (268),360,480,basket,256,99,338,220
file (269),360,480,basket,40,49,127,181
file (27),400,400,basket,83,63,209,217
file (270),360,480,basket,235,12,338,133
file (271),360,480,basket,53,304,105,387
file (272),360,480,basket,259,367,326,462
file (273),360,480,basket,154,23,220,99
file (274),360,480,basket,166,170,210,214
file (275),360,480,basket,57,152,165,286
file (276),360,480,basket,68,139,230,353
file (277),360,480,basket,96,1,271,254
file (278),360,480,basket,155,151,287,331
file (279),360,480,basket,34,152,137,301
file (28),500,500,basket,124,15,482,430
file (280),360,480,basket,234,264,321,377
file (281),360,480,basket,207,38,295,151
file (282),360,480,basket,89,292,155,381
file (283),360,480,basket,142,206,209,288
file (284),360,480,basket,162,193,206,255
file (285),360,480,basket,131,145,188,243
file (286),360,480,basket,63,211,140,325
file (287),360,480,basket,179,18,271,157
file (288),360,480,basket,150,204,234,327
file (289),360,480,basket,103,106,193,227
file (29),150,150,basket,54,22,130,115
file (290),360,480,basket,30,142,156,300
file (291),360,480,basket,214,97,339,284
file (292),360,480,basket,79,23,284,316
file (293),360,480,basket,100,152,232,328
file (294),360,480,basket,59,5,262,324
file (295),360,480,basket,9,1,218,220
file (296),360,480,basket,174,51,359,332
file (297),360,480,basket,2,258,193,480
file (298),360,480,basket,1,174,196,479
file (299),360,480,basket,181,5,358,355
file (3),250,250,basket,281,17,399,209
file (3),250,250,basket,33,5,207,240
file (30),450,450,basket,50,29,385,360
file (300),360,480,basket,1,1,160,211
file (301),360,480,basket,164,241,331,464
file (302),360,480,basket,59,304,225,479
file (303),360,480,basket,64,143,206,368
file (304),360,480,basket,18,109,219,413
file (305),360,480,basket,115,83,239,262
file (306),360,480,basket,75,137,209,324
file (307),360,480,basket,172,107,329,302
file (308),360,480,basket,40,191,178,411
file (309),360,480,basket,126,1,277,190
file (31),150,150,basket,73,19,150,124
file (310),360,480,basket,109,94,169,182
file (311),360,480,basket,214,56,301,168
file (312),360,480,basket,103,158,217,297
file (313),360,480,basket,85,148,211,315
file (314),360,480,basket,102,138,250,334
file (315),360,480,basket,94,132,233,311
file (316),360,480,basket,132,77,278,279
file (317),360,480,basket,56,92,208,308
file (318),360,480,basket,115,165,253,337
file (319),360,480,basket,20,26,185,212
file (32),450,450,basket,96,10,430,396
file (320),360,480,basket,197,205,347,391
file (321),360,480,basket,191,41,337,223
file (322),360,480,basket,45,201,168,379
file (323),360,480,basket,3,156,237,478
file (324),360,480,basket,104,1,357,358
file (325),360,480,basket,49,135,348,476
file (326),360,480,basket,8,59,294,453
file (327),360,480,basket,61,212,162,336
file (328),360,480,basket,25,42,114,166
file (329),360,480,basket,77,148,245,332
file (33),450,450,basket,185,84,373,358
file (330),360,480,basket,165,81,358,336
file (331),360,480,basket,133,158,213,277
file (332),360,480,basket,131,44,196,150
file (333),360,480,basket,87,318,156,420
file (334),360,480,basket,234,163,298,254
file (335),360,480,basket,61,146,203,342
file (336),360,480,basket,5,1,223,274
file (337),360,480,basket,141,49,342,314
file (338),360,480,basket,2,146,167,436
file (339),360,480,basket,2,29,268,475
file (34),400,300,basket,137,127,205,230
file (340),360,480,basket,29,1,333,423
file (341),360,480,basket,24,129,294,476
file (342),360,480,basket,55,16,305,385
file (343),360,480,basket,1,1,160,296
file (344),360,480,basket,1,61,148,300
file (345),360,480,basket,1,42,122,290
file (346),360,480,basket,237,38,356,310
file (347),360,480,basket,109,170,144,213
file (348),360,480,basket,126,167,180,260
file (349),360,480,basket,31,230,114,357
file (35),400,300,basket,177,64,280,188
file (350),360,480,basket,158,69,308,274
file (351),360,480,basket,187,63,356,320
file (352),360,480,basket,167,40,356,396
file (353),360,480,basket,7,27,286,407
file (354),360,480,basket,3,70,217,433
file (355),360,480,basket,207,85,358,419
file (356),360,480,basket,42,125,234,406
file (357),360,480,basket,77,7,306,383
file (358),360,480,basket,64,122,283,414
file (359),360,480,basket,62,143,199,316
file (36),300,300,basket,26,86,137,278
file (360),360,480,basket,28,65,214,404
file (361),360,480,basket,141,132,297,380
file (362),360,480,basket,68,120,215,345
file (363),360,480,basket,114,188,166,277
file (364),360,480,basket,173,128,249,275
file (365),360,480,basket,88,204,185,365
file (366),360,480,basket,185,18,316,238
file (367),360,480,basket,22,209,168,425
file (368),360,480,basket,227,139,358,365
file (369),360,480,basket,62,94,241,361
file (37),250,250,basket,101,47,215,211
file (370),360,480,basket,52,128,257,427
file (371),360,480,basket,48,3,290,351
file (372),360,480,basket,11,33,245,378
file (373),360,480,basket,128,1,360,351
file (374),360,480,basket,153,2,347,250
file (375),360,480,basket,19,89,237,398
file (376),360,480,basket,130,201,244,356
file (377),360,480,basket,59,128,190,272
file (378),360,480,basket,50,27,162,203
file (379),360,480,basket,191,220,297,382
file (38),150,150,basket,31,11,114,136
file (380),360,480,basket,202,89,327,269
file (381),360,480,basket,88,173,223,352
file (382),360,480,basket,70,237,182,425
file (383),360,480,basket,4,7,305,402
file (384),360,480,basket,82,121,172,270
file (385),360,480,basket,214,158,311,316
file (386),360,480,basket,218,15,334,181
file (387),360,480,basket,28,286,131,434
file (388),360,480,basket,226,270,333,458
file (389),360,480,basket,195,225,280,369
file (39),150,150,basket,37,1,118,122
file (390),360,480,basket,85,167,183,332
file (391),360,480,basket,50,93,174,295
file (392),360,480,basket,68,64,252,357
file (393),360,480,basket,91,111,286,392
file (394),360,480,basket,113,9,283,307
file (395),360,480,basket,165,1,360,266
file (396),360,480,basket,1,1,194,277
file (397),360,480,basket,29,135,214,404
file (398),360,480,basket,100,3,280,230
file (399),360,480,basket,15,224,176,469
file (4),300,300,basket,13,80,84,169
file (40),300,300,basket,63,3,268,243
file (400),360,480,basket,12,91,217,281
file (401),360,480,basket,91,103,170,202
file (402),360,480,basket,89,161,180,292
file (403),360,480,basket,88,125,201,278
file (404),360,480,basket,69,90,217,293
file (405),360,480,basket,157,33,357,300
file (406),360,480,basket,92,1,359,405
file (407),360,480,basket,15,177,205,445
file (408),360,480,basket,2,35,194,275
file (409),360,480,basket,71,160,195,336
file (41),450,450,basket,80,31,368,397
file (410),360,480,basket,86,160,194,274
file (411),360,480,basket,122,197,196,274
file (412),360,480,basket,134,179,213,283
file (413),360,480,basket,43,48,124,164
file (414),360,480,basket,94,142,197,290
file (415),360,480,basket,189,88,338,310
file (416),360,480,basket,58,117,266,421
file (417),360,480,basket,67,1,307,314
file (418),360,480,basket,113,1,359,383
file (419),360,480,basket,1,1,238,405
file (42),700,700,basket,11,1,688,689
file (420),360,480,basket,1,1,258,335
file (421),360,480,basket,2,57,246,440
file (422),360,480,basket,147,167,186,233
file (423),360,480,basket,249,114,301,193
file (424),360,480,basket,55,187,155,333
file (425),360,480,basket,47,12,160,186
file (426),360,480,basket,172,7,314,202
file (427),360,480,basket,70,154,206,353
file (428),360,480,basket,118,99,269,357
file (429),360,480,basket,49,66,238,330
file (43),400,300,basket,70,11,231,252
file (430),360,480,basket,56,91,267,408
file (431),360,480,basket,4,209,216,478
file (432),360,480,basket,111,143,338,473
file (433),360,480,basket,1,1,257,305
file (434),360,480,basket,54,40,265,356
file (435),360,480,basket,149,1,350,268
file (436),360,480,basket,133,1,332,197
file (437),360,480,basket,16,156,213,432
file (438),360,480,basket,163,1,352,248
file (439),360,480,basket,8,1,218,248
file (44),200,200,basket,109,5,198,155
file (440),360,480,basket,131,146,196,248
file (441),360,480,basket,140,107,202,215
file (442),360,480,basket,125,105,220,259
file (443),360,480,basket,24,42,158,254
file (444),360,480,basket,215,1,346,188
file (445),360,480,basket,40,205,181,438
file (446),360,480,basket,102,97,277,377
file (447),360,480,basket,84,1,276,266
file (448),360,480,basket,17,132,210,438
file (449),360,480,basket,1,1,184,256
file (45),200,200,basket,33,20,151,176
file (450),360,480,basket,179,1,360,274
file (451),360,480,basket,177,151,357,431
file (452),360,480,basket,51,59,251,398
file (453),360,480,basket,28,1,256,344
file (454),360,480,basket,55,80,298,392
file (455),360,480,basket,38,97,263,422
file (456),360,480,basket,1,52,221,398
file (457),360,480,basket,108,1,359,254
file (458),360,480,basket,69,127,139,225
file (459),360,480,basket,188,180,242,275
file (46),250,250,basket,107,85,243,245
file (460),360,480,basket,91,260,176,415
file (461),360,480,basket,60,84,225,341
file (462),360,480,basket,162,104,298,355
file (463),360,480,basket,8,148,145,392
file (464),360,480,basket,18,60,176,349
file (465),360,480,basket,101,34,227,249
file (466),360,480,basket,116,77,266,315
file (467),360,480,basket,191,50,353,289
file (468),360,480,basket,20,12,338,414
file (469),360,480,basket,16,1,334,335
file (47),500,500,basket,128,6,390,344
file (470),360,480,basket,74,20,331,386
file (471),500,500,basket,123,7,372,371
file (472),500,500,basket,133,22,379,359
file (473),250,250,basket,27,11,225,214
file (474),250,250,basket,79,36,174,171
file (475),250,250,basket,48,28,192,225
file (476),250,250,basket,45,12,206,230
file (477),400,300,basket,223,85,351,258
file (478),300,300,basket,9,73,129,233
file (479),250,250,basket,6,1,236,226
file (48),500,500,basket,16,52,488,498
file (480),400,300,basket,201,92,377,290
file (481),650,650,basket,215,213,476,570
file (482),150,150,basket,46,10,137,121
file (483),250,250,basket,73,65,162,192
file (484),250,250,basket,109,69,185,173
file (485),250,250,basket,79,64,158,181
file (486),500,500,basket,40,27,458,487
file (487),300,300,basket,36,12,257,283
file (488),250,250,basket,55,25,193,205
file (489),250,250,basket,63,45,200,216
file (49),500,500,basket,68,5,420,419
file (490),500,500,basket,142,2,374,344
file (491),300,300,basket,4,79,160,285
file (492),300,300,basket,57,44,224,261
file (493),150,150,basket,19,33,59,91
file (494),200,200,basket,46,42,156,184
file (495),300,300,basket,59,130,247,298
file (496),400,400,basket,45,60,380,397
file (497),400,300,basket,241,169,351,292
file (497),400,300,basket,272,120,293,142
file (497),400,300,basket,37,129,57,154
file (498),600,600,basket,252,256,586,593
file (499),400,300,basket,115,53,289,287
file (5),400,300,basket,145,54,271,242
file (50),250,250,basket,37,11,215,217
file (500),500,500,basket,133,24,491,479
file (501),250,250,basket,64,47,134,130
file (502),150,150,basket,40,7,148,145
file (503),500,500,basket,46,9,445,482
file (504),500,500,basket,60,10,453,459
file (505),250,250,basket,17,58,102,182
file (506),400,300,basket,42,39,219,274
file (507),300,300,basket,13,14,286,299
file (508),400,400,basket,84,100,228,305
file (509),400,400,basket,109,17,312,307
file (51),250,250,basket,4,11,248,247
file (510),300,300,basket,72,51,242,213
file (511),300,300,basket,150,50,299,253
file (512),450,450,basket,116,10,345,294
file (513),700,700,basket,97,19,583,589
file (514),150,150,basket,27,1,119,114
file (515),250,250,basket,162,41,233,134
file (516),250,250,basket,1,1,138,248
file (517),250,250,basket,81,69,226,247
file (518),250,250,basket,42,70,221,249
file (519),400,400,basket,77,4,326,325
file (52),400,300,basket,65,107,215,288
file (520),250,250,basket,1,1,185,248
file (521),400,300,basket,39,72,184,268
file (522),150,150,basket,18,5,135,144
file (523),400,300,basket,126,61,268,248
file (524),400,300,basket,172,114,249,211
file (525),325,325,basket,119,198,159,261
file (526),400,300,basket,124,32,255,212
file (53),325,325,basket,110,54,236,239
file (54),300,300,basket,58,82,215,273
file (55),400,300,basket,157,113,229,200
file (56),600,600,basket,202,151,402,468
file (57),600,600,basket,1,25,512,566
file (58),350,350,basket,132,40,298,266
file (59),300,300,basket,105,58,208,211
file (6),325,325,basket,21,64,223,318
file (60),300,300,basket,126,71,248,227
file (61),600,600,basket,257,137,488,472
file (62),300,300,basket,1,24,127,239
file (63),300,300,basket,133,55,296,277
file (64),300,300,basket,155,82,254,205
file (65),600,600,basket,266,248,368,380
file (66),400,300,basket,273,29,400,206
file (67),150,150,basket,38,1,105,73
file (68),650,650,basket,206,76,564,525
file (69),650,650,basket,254,184,554,545
file (7),300,300,basket,23,64,148,231
file (70),175,175,basket,78,73,157,164
file (71),175,175,basket,2,27,138,174
file (72),650,650,basket,217,4,649,576
file (73),175,175,basket,56,3,173,154
file (74),150,150,basket,40,24,100,102
file (75),150,150,basket,9,2,130,144
file (76),250,250,basket,86,36,232,234
file (77),150,150,basket,3,3,113,140
file (78),400,300,basket,301,102,400,217
file (79),325,325,basket,26,61,230,287
file (8),500,500,basket,24,26,244,356
file (80),400,300,basket,3,1,84,116
file (81),400,300,basket,1,1,69,128
file (82),400,300,basket,3,1,68,115
file (83),600,600,basket,246,180,413,425
file (84),150,150,basket,1,50,57,118
file (85),400,300,basket,253,60,363,232
file (86),210,210,basket,54,48,129,143
file (87),150,150,basket,1,22,55,126
file (88),350,350,basket,21,205,102,318
file (89),600,600,basket,342,300,459,470
file (9),400,300,basket,151,134,200,218
file (90),500,500,basket,111,29,361,386
file (91),250,250,basket,71,16,184,185
file (92),250,250,basket,137,78,248,226
file (93),500,500,basket,118,79,362,375
file (94),300,300,basket,108,68,300,298
file (95),400,400,basket,153,46,380,357
file (96),400,400,basket,84,4,306,279
file (97),300,300,basket,57,99,197,276
file (98),600,600,basket,51,203,313,554
file (99),250,250,basket,1,86,119,239
